,city,coords
0,Tokyo,"(35.6897, 139.6922)"
1,New York,"(40.6943, -73.9249)"
2,Los Angeles,"(34.1141, -118.4068)"
3,London,"(51.5072, -0.1275)"
4,Chicago,"(41.8375, -87.6866)"
5,Miami,"(25.784, -80.2101)"
6,Houston,"(29.786, -95.3885)"
7,Philadelphia,"(40.0077, -75.1339)"
8,Toronto,"(43.7417, -79.3733)"
9,Monterrey,"(25.6667, -100.3)"
10,Atlanta,"(33.7628, -84.422)"
11,Sydney,"(-33.8678, 151.21)"
12,Washington,"(38.9047, -77.0163)"
13,Boston,"(42.3188, -71.0852)"
14,Phoenix,"(33.5722, -112.0892)"
15,Detroit,"(42.3834, -83.1024)"
16,Montreal,"(45.5089, -73.5617)"
17,Seattle,"(47.6211, -122.3244)"
18,San Francisco,"(37.7558, -122.4449)"
19,San Diego,"(32.8313, -117.1222)"
20,Minneapolis,"(44.9635, -93.2678)"
21,Denver,"(39.762, -104.8758)"
22,Baltimore,"(39.3051, -76.6144)"
23,St. Louis,"(38.6359, -90.2451)"
24,San Juan,"(18.3985, -66.061)"
25,Pittsburgh,"(40.4397, -79.9763)"
26,Cincinnati,"(39.1413, -84.506)"
27,Cleveland,"(41.4764, -81.6805)"
28,Kansas City,"(39.1238, -94.5541)"
29,Milwaukee,"(43.0642, -87.9675)"
30,Buffalo,"(42.9018, -78.8487)"
31,Omaha,"(41.2627, -96.0529)"
32,Oakland,"(37.7904, -122.2166)"
33,Arlington,"(32.6998, -97.125)"
34,Anaheim,"(33.839, -117.8574)"
35,Fort Bragg,"(35.085, -78.9772)"
36,St. Petersburg,"(27.7931, -82.6652)"
37,Dyersville,"(42.5002, -90.707)"
38,Dunedin,"(28.0329, -82.7862)"
39,Williamsport,"(41.2399, -77.037)"
40,Lake Buena Vista,"(28.3102, -81.551)"
